Index	H0	error_plus	error_minus	year	Dataset	Reference
237	57.0	23.0	-16.0	1999.288	ZC	Grainge, K., Jones M.,Pooley, G., Saunders, R., Edge, A. \& Kneissl, R. 2002,MNRAS333,318Astroph 9904165 SZ with Ryle telescope A1413, Assumed SCDM
238	46.0	14.0	-11.0	1999.29	Z	Saunders, R. \etal 1999, MNRAS in press. Astroph9904168 SZ on A773
239	63.0	7.0	-7.0	1999.3	L	Myers, S. 1999, PNAS 96, 4236. Summary, 4 lens #'s averaged by JPH.
240	62.0	5.0	-5.0	1999.317	S	Tripp, R. \& Branch, D. 1999, ApJ  in press. Astroph9904347
241	56.0	6.0	-6.0	1999.322	OS	Tammann, G., Sandage, A. \& Reindl, B. 1999, in 19th Texas Symp., Astroph 9904360DistanceofVirgo
242	52.0	5.0	-4.0	1999.325	B	Ekholm, T., Teerikorpi, P/, Theureau, G., Hanski, M., Paturel, G.,  Bottinelli, L.\& Gouguenheim,L. 1999, A\&A in press. Astroph9904372 B Band TF
243	60.0	2.0	-2.0	1999.328	SS	Saha, A., Sandage, A., Tammann, G., Labhardt, L., Macchetto, F. \& Panagia. N. 1999, ApJinpress.Ast9904389 SN1989B
244	65.0	2.0	-2.0	1999.35	S	"Filippenko, A. \& Riess, A. 1999, in  ""Type Ia Supernovae: Theory & Cosmology"" J. Niemeyer\&J. Truran, eds.   astro-ph/9905049"
245	72.0	6.0	-6.0	1999.352	O	Richtler, T. \etal 1999, in Science in the VLT Era and Beyond., Astroph9905080.  Fornax distance
246	70.0	5.0	-6.0	1999.382	AK	"Freedman, W. 1999, in ""Particle Physics and the Universe, (Singapore: World Scientific) Ast9905222"
